year,pred,lo,hi,reporter,partner,hs2,flow
2023,109825198625.32614,95987579934.46591,125657655514.65308,USA,CHN,85,import
2024,106412695552.96558,93005041177.10178,121753204251.40717,USA,CHN,85,import
2025,103106226226.6353,90115176257.80252,117970072613.33255,USA,CHN,85,import
2023,47069284635.491745,37075459583.79719,59756981598.21264,USA,VNM,85,import
2024,59274377483.30769,46689147790.50253,75252001638.48279,USA,VNM,85,import
2025,74644257996.24826,58795670933.59915,94764889375.93156,USA,VNM,85,import
2023,60193384194.71214,55689373156.06113,65061667881.55903,USA,MEX,85,import
2024,60126750933.56485,55627725774.1389,64989645496.29819,USA,MEX,85,import
2025,60060191434.53527,55566146635.03363,64917702838.84248,USA,MEX,85,import
2023,90693194796.97949,80719799968.42474,101898859829.91928,USA,CHN,84,import
2024,88833162582.37386,79064312711.25958,99809009953.75948,USA,CHN,84,import
2025,87011277880.89774,77442777942.3269,97762020935.04263,USA,CHN,84,import
