year,reporter,co2_tonnes
2015,CAN,648782.8556168275
2016,CAN,649046.9578252559
2017,CAN,664247.4046186077
2018,CAN,716526.0327821932
2019,CAN,703994.8509915081
2020,CAN,651466.4239097184
2021,CAN,773309.1150322651
2022,CAN,834467.6025339839
2015,CHN,4183001.782900176
2016,CHN,3947061.847263098
2017,CHN,4519479.834625206
2018,CHN,5109023.75681727
2019,CHN,4746310.7678894745
2020,CHN,5016815.311622285
2021,CHN,6069568.320315421
2022,CHN,6052704.417685881
2015,DEU,2050325.8454352154
2016,DEU,2052534.7217041636
2017,DEU,2347694.1570386714
2018,DEU,2632841.257539432
2019,DEU,2554395.534600448
2020,DEU,2418697.5120207523
2021,DEU,2839415.874849379
2022,DEU,2937473.8439974557
2015,JPN,1321266.6845671677
2016,JPN,1354123.954744416
2017,JPN,1476971.0799568386
2018,JPN,1579501.3576609958
2019,JPN,1524772.7855487103
2020,JPN,1343005.0075843763
2021,JPN,1557131.5027120947
2022,JPN,1567978.029327993
2015,KOR,806986.8894450894
2016,KOR,770573.8199737711
2017,KOR,952410.9311663966
2018,KOR,996293.5559455894
2019,KOR,915054.4019261068
2020,KOR,960701.0238516745
2021,KOR,1163962.9426340566
2022,KOR,1189814.4754168307
2015,MEX,1453692.2090912233
2016,MEX,1476055.7073421725
2017,MEX,1538387.9648442594
2018,MEX,1695359.4543214424
2019,MEX,1727365.9215523512
2020,MEX,1558615.8514985924
2021,MEX,1875483.1505754828
2022,MEX,2202375.422045736
2015,MYS,493810.57721110876
2016,MYS,498859.02147218667
2017,MYS,565153.5241207409
2018,MYS,594858.239920031
2019,MYS,553600.4392478424
2020,MYS,565773.0330053634
2021,MYS,700512.5190131873
2022,MYS,821321.83993924
2015,THA,550462.153357154
2016,THA,542781.1253206522
2017,THA,570553.3296314488
2018,THA,601120.6255409666
2019,THA,606613.552190264
2020,THA,617366.331996645
2021,THA,718163.8166867686
2022,THA,775533.5678284427
2015,USA,6236371.753202816
2016,USA,6025651.51565067
2017,USA,6637797.248800139
2018,USA,7016410.924858858
2019,USA,6448570.6052518785
2020,USA,6486232.775604404
2021,USA,7744517.2785870405
2022,USA,8277428.116200314
2015,VNM,341908.44186877325
2016,VNM,379738.7696773708
2017,VNM,447555.7767436311
2018,VNM,477440.0752748496
2019,VNM,591059.6756672766
2020,VNM,764982.699589109
2021,VNM,944437.9047079358
2022,VNM,1054661.076875021
