reporter,partner,gc_km,sea_km
USA,CHN,10424.476224076725,12509.37146889207
USA,VNM,13156.304577215482,15787.565492658578
USA,MEX,2136.0621949553997,2563.2746339464798
USA,DEU,9104.083400054884,10924.90008006586
USA,JPN,8856.648341823777,10627.978010188532
USA,KOR,9648.808872137606,11578.570646565127
USA,CAN,1775.9426622144413,2131.1311946573296
USA,TWN,11208.20019218336,13449.840230620031
USA,THA,13363.696784132735,16036.436140959282
USA,MYS,14192.987591840347,17031.585110208416
CHN,USA,10424.476224076725,12509.37146889207
CHN,VNM,2767.908063246768,3321.4896758961218
CHN,MEX,12554.335371952056,15065.202446342468
CHN,DEU,8525.181488814758,10230.21778657771
CHN,JPN,1713.9342036310104,2056.7210443572126
CHN,KOR,788.6677163341839,946.4012596010206
CHN,CAN,8989.847731373902,10787.817277648683
CHN,TWN,987.4980445533838,1184.9976534640605
CHN,THA,2951.1786224105977,3541.4143468927173
CHN,MYS,3812.9664396571707,4575.559727588605
VNM,USA,13156.304577215482,15787.565492658578
VNM,CHN,2767.908063246768,3321.4896758961218
VNM,MEX,15262.812681611635,18315.37521793396
VNM,DEU,9485.086628333403,11382.103954000084
VNM,JPN,4305.275856219948,5166.331027463937
VNM,KOR,3521.4220169193445,4225.706420303213
VNM,CAN,11757.597363370367,14109.11683604444
VNM,TWN,1952.395491413493,2342.8745896961914
VNM,THA,685.243946881842,822.2927362582104
VNM,MYS,1045.9624170429106,1255.1549004514927
MEX,USA,2136.0621949553997,2563.2746339464798
MEX,CHN,12554.335371952056,15065.202446342468
MEX,VNM,15262.812681611635,18315.37521793396
MEX,DEU,9808.333726214145,11770.000471456973
MEX,JPN,10957.849148258852,13149.418977910622
MEX,KOR,11774.781780486841,14129.738136584208
MEX,CAN,3758.7784383541743,4510.534126025009
MEX,TWN,13310.4175115567,15972.501013868039
MEX,THA,15498.517739692805,18598.221287631364
MEX,MYS,16283.742350896811,19540.49082107617
DEU,USA,9104.083400054884,10924.90008006586
DEU,CHN,8525.181488814758,10230.21778657771
DEU,VNM,9485.086628333403,11382.103954000084
DEU,MEX,9808.333726214145,11770.000471456973
DEU,JPN,8999.894702336256,10799.873642803506
DEU,KOR,8552.69164947661,10263.229979371932
DEU,CAN,7764.006749241092,9316.80809908931
DEU,TWN,9248.015111085517,11097.61813330262
DEU,THA,8899.405778398677,10679.286934078413
DEU,MYS,9832.398722856424,11798.878467427709
JPN,USA,8856.648341823777,10627.978010188532
JPN,CHN,1713.9342036310104,2056.7210443572126
JPN,VNM,4305.275856219948,5166.331027463937
JPN,MEX,10957.849148258852,13149.418977910622
JPN,DEU,8999.894702336256,10799.873642803506
JPN,KOR,963.4826618795946,1156.1791942555135
JPN,CAN,7573.280236651915,9087.936283982299
JPN,TWN,2353.228468200203,2823.8741618402437
JPN,THA,4603.83802510673,5524.605630128076
JPN,MYS,5336.647699843099,6403.977239811718
KOR,USA,9648.808872137606,11578.570646565127
KOR,CHN,788.6677163341839,946.4012596010206
KOR,VNM,3521.4220169193445,4225.706420303213
KOR,MEX,11774.781780486841,14129.738136584208
KOR,DEU,8552.69164947661,10263.229979371932
KOR,JPN,963.4826618795946,1156.1791942555135
KOR,CAN,8249.326699595818,9899.192039514981
KOR,TWN,1626.155067765017,1951.3860813180204
KOR,THA,3736.8751164275386,4484.250139713046
KOR,MYS,4567.02361568034,5480.4283388164085
CAN,USA,1775.9426622144413,2131.1311946573296
CAN,CHN,8989.847731373902,10787.817277648683
CAN,VNM,11757.597363370367,14109.11683604444
CAN,MEX,3758.7784383541743,4510.534126025009
CAN,DEU,7764.006749241092,9316.80809908931
CAN,JPN,7573.280236651915,9087.936283982299
CAN,KOR,8249.326699595818,9899.192039514981
CAN,TWN,9865.744828655885,11838.89379438706
CAN,THA,11849.559166158831,14219.470999390598
CAN,MYS,12801.618690011965,15361.942428014358
TWN,USA,11208.20019218336,13449.840230620031
TWN,CHN,987.4980445533838,1184.9976534640605
TWN,VNM,1952.395491413493,2342.8745896961914
TWN,MEX,13310.4175115567,15972.501013868039
TWN,DEU,9248.015111085517,11097.61813330262
TWN,JPN,2353.228468200203,2823.8741618402437
TWN,KOR,1626.155067765017,1951.3860813180204
TWN,CAN,9865.744828655885,11838.89379438706
TWN,THA,2307.9498469188734,2769.539816302648
TWN,MYS,2984.8941148759945,3581.8729378511935
THA,USA,13363.696784132735,16036.436140959282
THA,CHN,2951.1786224105977,3541.4143468927173
THA,VNM,685.243946881842,822.2927362582104
THA,MEX,15498.517739692805,18598.221287631364
THA,DEU,8899.405778398677,10679.286934078413
THA,JPN,4603.83802510673,5524.605630128076
THA,KOR,3736.8751164275386,4484.250139713046
THA,CAN,11849.559166158831,14219.470999390598
THA,TWN,2307.9498469188734,2769.539816302648
THA,MYS,1123.3587563816334,1348.03050765796
MYS,USA,14192.987591840347,17031.585110208416
MYS,CHN,3812.9664396571707,4575.559727588605
MYS,VNM,1045.9624170429106,1255.1549004514927
MYS,MEX,16283.742350896811,19540.49082107617
MYS,DEU,9832.398722856424,11798.878467427709
MYS,JPN,5336.647699843099,6403.977239811718
MYS,KOR,4567.02361568034,5480.4283388164085
MYS,CAN,12801.618690011965,15361.942428014358
MYS,TWN,2984.8941148759945,3581.8729378511935
MYS,THA,1123.3587563816334,1348.03050765796
