node,out_strength,in_strength,pagerank,betweenness,throughput
CHN,629193882685.0,285422694413.45905,0.13217794726921253,0.6944444444444444,914616577098.459
USA,257723562822.0,705052173234.162,0.3392173457822651,0.5,962775736056.162
KOR,190243192788.0,125180178604.52101,0.0581431233443358,0.0,315423371392.521
MEX,187015976692.0,153324011789.259,0.13740859570509073,0.0,340339988481.25903
JPN,163362544507.97702,114945378513.61502,0.05421701482636754,0.0,278307923021.59204
VNM,118000244759.962,123365744357.636,0.04613661675479864,0.0,241365989117.59802
DEU,116332107126.69,95013439662.974,0.05093118645141012,0.0,211345546789.664
MYS,76430541081.517,65437770329.326004,0.03822807605475101,0.0,141868311410.84302
THA,52782140018.30799,55342420605.612,0.03255283001578256,0.0,108124560623.91998
CAN,42153575482.763,110153956453.65298,0.11098726379598624,0.0,152307531936.416
