node,in_strength,out_strength,betweenness,pagerank,year,hs2,throughput
USA,466579084558.063,223812797115.0,0.5833333333333333,0.3358394495822651,2015,ALL_HS,690391881673.063
MEX,115716572380.119,128803250764.0,0.0,0.136689876303461,2015,ALL_HS,244519823144.11902
CHN,190399222949.694,386070435244.0,0.6944444444444444,0.1303135677463962,2015,ALL_HS,576469658193.694
CAN,87758579923.608,36147081095.535,0.0,0.111624607705365,2015,ALL_HS,123905661019.143
JPN,95319886876.224,133851227772.0,0.0,0.0662288267271021,2015,ALL_HS,229171114648.224
KOR,87316961934.59799,127277691678.0,0.0,0.061241396111520865,2015,ALL_HS,214594653612.598
DEU,58809397202.230995,86509774847.12701,0.0,0.050741370286493795,2015,ALL_HS,145319172049.358
MYS,35858462227.889,41664242656.0,0.0,0.03719193460212547,2015,ALL_HS,77522704883.889
THA,39782697666.692,34763013255.189995,0.0,0.03575498886154041,2015,ALL_HS,74545710921.88199
VNM,45902249171.734,24543600464.0,0.0,0.03437398207372994,2015,ALL_HS,70445849635.73401
USA,459690962545.482,217627356439.0,0.5833333333333333,0.3351864537729565,2016,ALL_HS,677318318984.4819
MEX,115078534124.95801,127777293001.0,0.0,0.1392873916308314,2016,ALL_HS,242855827125.958
CHN,184496483145.98203,368735048272.0,0.6944444444444444,0.128250409807946,2016,ALL_HS,553231531417.982
CAN,82373173145.24101,35082193048.801,0.0,0.10825717048354215,2016,ALL_HS,117455366194.04202
JPN,92534330063.463,139574525415.0,0.0,0.06564288146834947,2016,ALL_HS,232108855478.463
KOR,84417433074.4,121301049702.0,0.0,0.06006671978330322,2016,ALL_HS,205718482776.4
DEU,61059618476.306,85088231160.92499,0.0,0.05244537779546764,2016,ALL_HS,146147849637.231
VNM,50405846923.35,32705368098.38,0.0,0.03802436681531786,2016,ALL_HS,83111215021.73
MYS,34589947159.867,41236931054.0,0.0,0.0370586510094498,2016,ALL_HS,75826878213.867
THA,39683892282.967,35202224750.91,0.0,0.03578057743283586,2016,ALL_HS,74886117033.87701
USA,503926626648.0741,229965835101.0,0.4861111111111111,0.32636659923562383,2017,ALL_HS,733892461749.0741
CHN,228605823930.789,418724741666.0,0.7222222222222222,0.1382262646854162,2017,ALL_HS,647330565596.7891
MEX,119381796813.75899,135718003922.0,0.0,0.13176912402248048,2017,ALL_HS,255099800735.75897
CAN,88183764284.586,37519296106.188,0.0,0.10581759409373774,2017,ALL_HS,125703060390.774
JPN,100615200675.575,158221269041.661,0.0,0.06578014001444767,2017,ALL_HS,258836469717.23602
KOR,99980364982.79602,149050225127.0,0.0,0.06555423815953632,2017,ALL_HS,249030590109.79602
DEU,67989015213.093,98293648229.85301,0.0,0.052657861104725395,2017,ALL_HS,166282663442.946
VNM,69102456002.66,45832830861.2,0.0,0.042184032091127005,2017,ALL_HS,114935286863.86
MYS,38828440791.35899,46330043371.800995,0.0,0.03651564058841356,2017,ALL_HS,85158484163.15999
THA,42606166691.152,39563762607.14,0.0,0.03512850600449212,2017,ALL_HS,82169929298.29199
USA,549221101111.018,239217204284.0,0.4861111111111111,0.3281981969719875,2018,ALL_HS,788438305395.0181
CHN,262714754831.49197,467903954061.0,0.8055555555555555,0.1405124346984705,2018,ALL_HS,730618708892.492
MEX,129003953720.72,144352707965.0,0.0,0.13444027584130758,2018,ALL_HS,273356661685.72
CAN,95749571949.151,39973475699.56799,0.0,0.10837030975905124,2018,ALL_HS,135723047648.719
JPN,107514940068.854,165341457165.198,0.0,0.06462718304507785,2018,ALL_HS,272856397234.052
KOR,101315489052.62,168182453242.0,0.0,0.06084276074534077,2018,ALL_HS,269497942294.62
DEU,73506478824.819,109926945512.693,0.0,0.05251551926881627,2018,ALL_HS,183433424337.512
VNM,75490364760.26599,54068790269.240005,0.0,0.04060286349437667,2018,ALL_HS,129559155029.506
MYS,41480599799.611,52151845032.982,0.0,0.035002771364747616,2018,ALL_HS,93632444832.593
THA,46423144493.58,41301565380.45,0.0,0.03488768481082398,2018,ALL_HS,87724709874.03
USA,530516744385.08795,229464148044.0,0.4861111111111111,0.32970470786379413,2019,ALL_HS,759980892429.0879
MEX,127148068333.14401,148176094186.0,0.0,0.1361498886952688,2019,ALL_HS,275324162519.14404
CHN,234653015551.773,451889620202.0,0.6805555555555555,0.13521088095261422,2019,ALL_HS,686542635753.773
CAN,95523254004.01599,39697952016.03,0.0,0.1106138836122484,2019,ALL_HS,135221206020.04599
JPN,104606509852.319,152964638967.991,0.0,0.0635228209275594,2019,ALL_HS,257571148820.31
KOR,98037247954.469,147846973033.0,0.0,0.05966688710258468,2019,ALL_HS,245884220987.469
DEU,70888000158.171,108447931656.256,0.0,0.05154335014252505,2019,ALL_HS,179335931814.427
VNM,85949883268.07501,64950173179.32001,0.0,0.044806530115668736,2019,ALL_HS,150900056447.39502
THA,45100090356.686,40261353878.584,0.0,0.03442130739209439,2019,ALL_HS,85361444235.26999
MYS,41517262128.324005,50241190828.884,0.0,0.034359743195642264,2019,ALL_HS,91758452957.20801
USA,537907560932.082,210589998031.0,0.5,0.32656844238077576,2020,ALL_HS,748497558963.082
CHN,252037047257.095,485170893258.0,0.7777777777777777,0.1486445251964515,2020,ALL_HS,737207940515.095
MEX,110823798878.358,138831496575.0,0.0,0.1254203505954669,2020,ALL_HS,249655295453.358
CAN,86097633783.53,33157742940.495,0.0,0.10502301851381768,2020,ALL_HS,119255376724.025
KOR,101692203558.923,152710923433.0,0.0,0.063186994635756,2020,ALL_HS,254403126991.923
JPN,102425608126.01901,145843590894.32196,0.0,0.06267374783530229,2020,ALL_HS,248269199020.34097
DEU,70501244298.174,102885732238.30098,0.0,0.050444961472630945,2020,ALL_HS,173386976536.47498
VNM,100444380585.518,84475224379.69101,0.0,0.049915257891440815,2020,ALL_HS,184919604965.209
MYS,42607951076.681,52526039088.283005,0.0,0.034842476738701736,2020,ALL_HS,95133990164.964
THA,43268638170.826996,41614425829.115005,0.0,0.03328022473965664,2020,ALL_HS,84883063999.942
USA,643014873382.3899,238985110835.0,0.5,0.330010556928437,2021,ALL_HS,881999984217.3899
CHN,294750703147.19,593158120184.0,0.736111111111111,0.1474616105365413,2021,ALL_HS,887908823331.19
MEX,132607424748.557,159745104313.0,0.0,0.12746989797014013,2021,ALL_HS,292352529061.557
CAN,98407834516.569,37937265380.055,0.0,0.10500725825651114,2021,ALL_HS,136345099896.624
KOR,120920555198.362,183642645896.0,0.0,0.06244059771843019,2021,ALL_HS,304563201094.362
JPN,111786175956.394,172735399931.666,0.0,0.05760533471903147,2021,ALL_HS,284521575888.06
DEU,88775138335.31201,115228092066.331,0.0,0.0512437546588827,2021,ALL_HS,204003230401.643
VNM,116949898463.24,103245379782.586,0.0,0.04848919337067904,2021,ALL_HS,220195278245.826
MYS,56764192186.457,62870524678.802,0.0,0.03728845622801084,2021,ALL_HS,119634716865.259
THA,52135626528.118004,48564779395.148994,0.0,0.03298333961333631,2021,ALL_HS,100700405923.267
USA,705052173234.162,257723562822.0,0.5,0.3392173457822651,2022,ALL_HS,962775736056.162
MEX,153324011789.259,187015976692.0,0.0,0.13740859570509073,2022,ALL_HS,340339988481.25903
CHN,285422694413.45905,629193882685.0,0.6944444444444444,0.13217794726921253,2022,ALL_HS,914616577098.459
CAN,110153956453.65298,42153575482.763,0.0,0.11098726379598624,2022,ALL_HS,152307531936.416
KOR,125180178604.52101,190243192788.0,0.0,0.0581431233443358,2022,ALL_HS,315423371392.521
JPN,114945378513.61502,163362544507.97702,0.0,0.05421701482636754,2022,ALL_HS,278307923021.59204
DEU,95013439662.974,116332107126.69,0.0,0.05093118645141012,2022,ALL_HS,211345546789.664
VNM,123365744357.636,118000244759.962,0.0,0.04613661675479864,2022,ALL_HS,241365989117.59802
MYS,65437770329.326004,76430541081.517,0.0,0.03822807605475101,2022,ALL_HS,141868311410.84302
THA,55342420605.612,52782140018.30799,0.0,0.03255283001578256,2022,ALL_HS,108124560623.91998
